曾孙                	N    	human|人,family|家,male|男
曾孙女              	N    	human|人,family|家,female|女
曾祖                	N    	human|人,family|家,male|男
曾祖母              	N    	human|人,family|家,female|女
掌上明珠            	N    	human|人,family|家,young|幼
丈                  	N    	human|人,family|家,male|男
丈夫                	N    	human|人,family|家,male|男
丈母                	N    	human|人,family|家,female|女
丈母娘              	N    	human|人,family|家,female|女
丈人                	N    	human|人,family|家,male|男
直系亲属            	N    	human|人,family|家,intimate|亲
侄                  	N    	human|人,family|家,male|男
侄儿                	N    	human|人,family|家,male|男
侄女                	N    	human|人,family|家,female|女
侄孙                	N    	human|人,family|家,male|男
侄子                	N    	human|人,family|家,male|男
至亲                	N    	human|人,family|家
终身伴侣            	N    	human|人,family|家
重孙                	N    	human|人,family|家,male|男
重孙女              	N    	human|人,family|家,female|女
主儿                	N    	human|人,family|家,male|男
主妇                	N    	human|人,female|女,family|家
赘婿                	N    	human|人,family|家,male|男
拙荆                	N    	human|人,family|家,female|女
仔                  	N    	human|人,family|家,male|男,young|幼
子                  	N    	human|人,family|家,male|男,young|幼
子妇                	N    	human|人,family|家,female|女
子女                	N    	human|人,family|家,mass|众,young|幼
子嗣                	N    	human|人,family|家,male|男,young|幼
子婿                	N    	human|人,family|家,male|男
祖父                	N    	human|人,family|家,male|男
祖父母              	N    	human|人,family|家
祖母                	N    	human|人,family|家,male|男
祖孙                	N    	human|人,family|家
祖孙三代            	N    	human|人,family|家
尊长                	N    	human|人,family|家,aged|老
伉俪                	N    	human|人,family|家,mass|众
俪                  	N    	human|人,family|家,mass|众
葭莩之亲            	N    	human|人,family|家
崽                  	N    	human|人,family|家,male|男,young|幼
妗子                	N    	human|人,family|家,female|女
姊                  	N    	human|人,family|家,female|女
姊妹                	N    	human|人,family|家,mass|众,female|女
妯娌                	N    	human|人,family|家,female|女
妯娌                	N    	human|人,family|家,mass|众,female|女
妾                  	N    	human|人,family|家,female|女
娣                  	N    	human|人,family|家,female|女
棣                  	N    	human|人,family|家,male|男
鸾凤                	N    	human|人,family|家,mass|众
衿                  	N    	human|人,family|家,male|男
